application_number,brand_name,generic_name,company,approval_year,submission_class
NDA020314,OCTREOSCAN,INDIUM IN -111 PENTETREOTIDE,Curium US LLC,1994,Type 1 - New Molecular Entity
NDA020241,LAMICTAL,LAMOTRIGINE,GlaxoSmithKline LLC,1994,Type 1 - New Molecular Entity
NDA020236,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
BLA020367,CEREZYME,IMIGLUCERASE,Genzyme Corporation,1994,Type 1 - New Molecular Entity
NDA020152,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA050708,PROGRAF,TACROLIMUS,"Astellas Pharma US, Inc.",1994,Type 1 - New Molecular Entity
BLA103575,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA019841,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA020233,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA020214,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA020408,N/A,N/A,N/A,1994,Type 1 - New Molecular Entity
NDA020428,AZELEX,AZELAIC ACID,"Almirall, LLC",1995,Type 1 - New Molecular Entity
NDA050685,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA020316,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA020444,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA020406,PREVACID,LANSOPRAZOLE,"Takeda Pharmaceuticals America, Inc.",1995,Type 1 - New Molecular Entity
NDA020357,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA020451,PHOTOFRIN,PORFIMER SODIUM,"Pinnacle Biologics, Inc.",1995,Type 1 - New Molecular Entity
NDA020541,ARIMIDEX,ANASTROZOLE,"ANI Pharmaceuticals, Inc.",1995,Type 1 - New Molecular Entity
NDA020212,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA020491,CORVERT,IBUTILIDE FUMARATE,Pharmacia & Upjohn Company LLC,1995,Type 1 - New Molecular Entity
NDA020482,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA020478,ULTANE,SEVOFLURANE,AbbVie Inc.,1995,Type 1 - New Molecular Entity
NDA020281,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA050722,CELLCEPT,MYCOPHENOLATE MOFETIL,"Genentech, Inc.",1995,Type 1 - New Molecular Entity
NDA020312,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA020628,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA020221,ETHYOL,AMIFOSTINE,Legacy Pharma USA Inc.,1995,Type 1 - New Molecular Entity
NDA020220,ULTRAVIST,IOPROMIDE,Bayer HealthCare Pharmaceuticals Inc.,1995,Type 1 - New Molecular Entity
NDA020356,NISOLDIPINE,NISOLDIPINE,Prasco Laboratories,1995,Type 1 - New Molecular Entity
NDA020599,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA019835,ZYRTEC HIVES,CETIRIZINE HYDROCHLORIDE,Kenvue Brands LLC,1995,Type 1 - New Molecular Entity
NDA050678,N/A,N/A,N/A,1995,Type 1 - New Molecular Entity
NDA020297,COREG,CARVEDILOL,Waylis Therapeutics LLC,1995,Type 1 - New Molecular Entity
NDA020625,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA050717,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020532,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020511,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020677,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA050742,STROMECTOL,IVERMECTIN,Merck Sharp & Dohme LLC,1996,Type 1 - New Molecular Entity
NDA020547,ZAFIRLUKAST,ZAFIRLUKAST,Strides Pharma Science Limited,1996,Type 1 - New Molecular Entity
BLA103628,AVONEX,INTERFERON BETA-1A,Biogen Inc.,1996,Type 1 - New Molecular Entity
NDA020169,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA050706,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020702,LIPITOR,ATORVASTATIN CALCIUM,Viatris Specialty LLC,1996,Type 1 - New Molecular Entity
NDA020573,BUPHENYL,SODIUM PHENYLBUTYRATE,"Horizon Therapeutics USA, Inc.",1996,Type 1 - New Molecular Entity
BLA103608,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020576,CYSTADANE,BETAINE,Recordati Rare Diseases,1996,Type 1 - New Molecular Entity
NDA020638,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020430,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020410,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020636,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020509,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020682,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020671,HYCAMTIN,TOPOTECAN HYDROCHLORIDE,Novartis Pharmaceuticals Corporation,1996,Type 1 - New Molecular Entity
NDA020613,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020338,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
